iter	Passed	Remaining
0	163	48846
1	166	24744
2	169	16771
3	173	12809
4	176	10394
5	179	8790
6	182	7626
7	185	6755
8	187	6068
9	190	5524
10	193	5090
11	196	4715
12	199	4399
13	204	4173
14	206	3929
15	209	3711
16	211	3527
17	214	3362
18	218	3238
19	221	3104
20	224	2983
21	227	2874
22	230	2774
23	233	2684
24	235	2595
25	238	2518
26	241	2445
27	244	2375
28	246	2305
29	249	2243
30	252	2187
31	254	2133
32	257	2083
33	260	2036
34	263	1995
35	265	1950
36	269	1913
37	272	1878
38	275	1842
39	278	1811
40	281	1775
41	283	1743
42	286	1712
43	290	1691
44	294	1667
45	298	1648
46	301	1623
47	304	1597
48	307	1572
49	309	1548
50	312	1524
51	314	1502
52	317	1480
53	320	1460
54	323	1440
55	325	1419
56	328	1400
57	331	1381
58	333	1363
59	336	1345
60	339	1328
61	341	1311
62	344	1295
63	347	1279
64	349	1264
65	352	1249
66	355	1235
67	357	1219
68	360	1205
69	362	1192
70	365	1179
71	368	1166
72	370	1153
73	373	1140
74	376	1128
75	378	1116
76	381	1105
77	384	1093
78	386	1081
79	389	1071
80	392	1060
81	394	1049
82	397	1038
83	400	1030
84	407	1030
85	410	1021
86	414	1013
87	418	1009
88	422	1001
89	426	994
90	429	986
91	432	978
92	436	971
93	440	964
94	443	956
95	446	948
96	449	941
97	452	932
98	455	925
99	459	918
100	463	912
101	466	906
102	469	898
103	473	891
104	475	883
105	478	875
106	481	868
107	483	859
108	486	853
109	489	845
110	492	839
111	495	831
112	498	824
113	500	816
114	503	809
115	506	802
116	508	795
117	511	789
118	514	783
119	517	776
120	520	770
121	523	763
122	526	757
123	529	751
124	531	743
125	534	737
126	536	731
127	539	725
128	542	719
129	546	714
130	548	708
131	551	701
132	554	695
133	557	690
134	560	684
135	562	678
136	565	673
137	568	667
138	571	662
139	574	656
140	576	650
141	579	644
142	582	639
143	585	633
144	588	628
145	591	623
146	593	617
147	596	612
148	598	606
149	601	601
150	604	596
151	606	590
152	609	586
153	612	580
154	615	575
155	618	570
156	621	565
157	623	560
158	626	555
159	628	550
160	631	545
161	633	540
162	636	535
163	639	530
164	642	525
165	644	520
166	647	515
167	650	510
168	652	506
169	655	500
170	657	496
171	660	491
172	663	486
173	665	482
174	668	477
175	671	473
176	674	468
177	676	463
178	679	459
179	681	454
180	684	450
181	687	445
182	690	441
183	692	436
184	695	432
185	698	428
186	701	423
187	704	419
188	706	415
189	709	410
190	712	406
191	715	402
192	717	397
193	720	393
194	723	389
195	725	385
196	728	380
197	731	376
198	734	372
199	736	368
200	740	364
201	742	360
202	745	356
203	748	352
204	751	348
205	754	344
206	756	340
207	759	335
208	762	331
209	765	327
210	767	323
211	770	319
212	773	315
213	775	311
214	778	307
215	781	304
216	784	300
217	787	296
218	790	292
219	793	288
220	795	284
221	798	280
222	801	276
223	804	272
224	807	269
225	810	265
226	812	261
227	815	257
228	817	253
229	821	249
230	823	246
231	827	242
232	829	238
233	833	234
234	835	231
235	837	227
236	840	223
237	843	219
238	846	215
239	848	212
240	851	208
241	854	204
242	857	201
243	860	197
244	863	193
245	866	190
246	868	186
247	872	182
248	874	179
249	877	175
250	880	171
251	882	168
252	885	164
253	888	160
254	891	157
255	894	153
256	896	150
257	899	146
258	902	142
259	904	139
260	907	135
261	910	132
262	912	128
263	915	124
264	918	121
265	921	117
266	923	114
267	926	110
268	929	107
269	931	103
270	934	100
271	936	96
272	939	92
273	942	89
274	944	85
275	947	82
276	950	78
277	953	75
278	956	71
279	957	68
280	960	64
281	963	61
282	966	58
283	968	54
284	971	51
285	974	47
286	977	44
287	979	40
288	982	37
289	985	33
290	988	30
291	990	27
292	993	23
293	996	20
294	998	16
295	1001	13
296	1004	10
297	1006	6
298	1009	3
299	1012	0
